????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　coast,/ k?ust/                                             ,n.海岸，海滨(地区)
　　coat,/ k?ut/                                             ,n.外套，上衣；表皮
　　cock,/ k?k/                                             ,n.公鸡；雄禽；旋塞
　　code,/ k?ud/                                             ,n.准则；法典；代码
　　coffee,/ ‘k?fi/                                             ,n.咖啡，咖啡茶
　　c?il,/ k?il/                                             ,n.(一)卷；线圈 vt.卷
　　c?in,/ k?in/                                             ,n.硬币；铸造(硬币)
　　cold,/ k?uld/                                             ,a.冷的；冷淡的 n.冷
　　collapse,/ k?’l?ps/                                             ,vi.倒坍；崩溃，瓦解
　　collar,/ ‘k?l?/                                             ,n.衣领，项圈
　　colleague,/ ‘k?li:g/                                             ,n.同事，同僚
　　collect,/ k?’lekt/                                             ,vt.收集 vi.收款
　　collection,/ k?’lek??n/                                             ,n.搜集，收集；收藏品
　　collective,/ k?’lektiv/                                             ,a.集体的；集合性的
　　college,/ ‘k?lid?/                                             ,n.学院；大学
　　collision,/ k?’li?(?)n/                                             ,n.碰撞；冲突
　　colony,/ ‘k?l?ni/                                             ,n.殖民地；侨居地
　　color,/ ‘kΛl?/                                             ,n.颜色，彩色；颜料
　　column,/ ‘k?l?m/                                             ,n.柱，支柱，圆柱
　　comb,/ k?um/                                             ,n.梳子 vt.梳理
　　combination,/ k?mbi’nei??n/                                             ,n.结合，联合；化合
　　combine,/ k?m’bain/                                             ,vt.使结合；兼有
　　come,/ kΛm/                                             ,vi.来，来到；出现
　　comfort,/ ‘kΛmf?t/                                             ,n.舒适；安慰 vt.安慰
　　comfortable,/ ‘kΛmf?t?bl/                                             ,a.舒适的，安慰的
　　command,/ k?’ma:nd/                                             ,vt.命令，指挥；控制
　　commander,/ k?’ma:nd?/                                             ,n.司令官，指挥员
　　comment,/ ‘k?ment/                                             ,n.评论，意见；注释
　　commerce,/ ‘k?m?(:)s/                                             ,n.商业，贸易；社交
　　commercial,/ k?’m?:??l/                                             ,a.商业的；商品化的
　　commission,/ k?’mi??n/                                             ,n.委任状；委员会
　　commit,/ k?’mit/                                             ,vt.犯(错误);干(坏事)
　　committee,/ k?’miti/                                             ,n.委员会；全体委员
　　common,/ ‘k?m?n/                                             ,a.普通的；共同的
　　communicate,/ k?’mju:nikeit/                                             ,vi.通讯；传达；传播
　　communication,/ k?’mju:nikei??n/                                             ,n.通讯；传达；交通
　　communism,/ ‘k?mjuniz?m/                                             ,n.共产主义
　　communist,/ ‘k?mjunist/                                             ,n.共产党员
　　community,/ k?’mju:niti/                                             ,n.社区；社会；公社
　　companion,/ k?m’p?ni?n/                                             ,n.同伴；共事者；伴侣
　　company,/ ‘kΛmp?ni/                                             ,n.公司，商号；同伴
　　comparative,/ k?m’p?r?tiv/                                             ,a.比较的，相对的
　　compare,/ k?m’pe?/                                             ,vt.比较，对照；比作
　　comparison,/ k?m’p?risn/                                             ,n.比较，对照；比似
　　compass,/ ‘kΛmp?s/                                             ,n.罗盘，指南针；圆规
　　compel,/ k?m’pel/                                             ,vt.强迫，迫使屈服
　　compete,/ k?m’pi:t/                                             ,vi.比赛；竞争；对抗
　　competent,/ ‘k?mpit?nt/                                             ,a.有能力的；应该做的
　　competition,/ k?mp?’ti??n/                                             ,n.竞争，比赛
　　complain,/ k?m’plein/                                             ,vi.抱怨，拆苦；控告
　　complaint,/ k?m’pleint/                                             ,n.抱怨；怨言；控告
　　complete,/ k?m’pli:t/                                             ,a.完整的；完成的
　　complex,/ ‘k?mpleks/                                             ,a.结合的；复杂的
　　complicated,/ ‘k?mplikeitid/                                             ,a.复杂的，难懂的
　　component,/ k?m’p?un?nt/                                             ,n.组成部分；分；组件
　　compose,/ k?m’p?uz/                                             ,vt.组成，构成；创作
　　composition,/ k?mp?’zi??n/                                             ,n.构成；作品；写作
　　compound,"/ ‘k?mpaund, k?m’paund/                                             ",n.化合物；复合词
　　comprehension,/ k?mpri’hen??n/                                             ,n.理解，理解力；领悟
　　comprehensive,/ k?mpri’hensiv/                                             ,a.广泛的；理解的
　　compress,/ k?m’pres/                                             ,vt.压紧，压缩
　　comprise,/ k?m’praiz/                                             ,vt.包含，包括；构成
　　compromise,/ ‘k?mpr?maiz/                                             ,n.妥协，和解
　　compute,/ k?m’pju:t/                                             ,vt.计算，估计，估算
　　computer,/ k?m’pju:t?/                                             ,n.计算机，电脑
　　conceal,/ k?n’si:l/                                             ,vt.把…隐藏起来
　　concentrate,/ ‘k?ns?ntreit/                                             ,vt.集中；聚集；浓缩
　　concentration,/ k?ns?n’trei??n/                                             ,n.集中；专注；浓缩
　　concept,/ ‘k?nsept/                                             ,n.概念，观念，设想
　　concern,/ k?n’s?:n/                                             ,n.关心，挂念；关系
　　concerning,/ k?n’s?:ni?/                                             ,prep.关于
　　concert,/ ‘k?ns?t/                                             ,n.音乐会，演奏会
　　conclude,/ k?n’klu:d/                                             ,vt.推断出；结束
　　conclusion,/ k?n’klu:??n/                                             ,n.结论，推论；结尾
　　concrete,/ ‘k?nkri:t/                                             ,n.混凝土；具体物
　　condemn,/ k?n’dem/                                             ,vt.谴责，指责；判刑
　　condense,/ k?n’dens/                                             ,vt.压缩，使缩短
　　condition,/ k?n’di??n/                                             ,n.状况，状态；环境
　　conduct,"/ ‘k?nd?kt, k?n’dΛkt/                                             ",n.举止，行为；指导
　　conductor,/ k?n’dΛkt?/                                             ,n.售票员；(乐队)指挥
　　conference,/ ‘k?nf?r?ns/                                             ,n.会议，讨论会
　　confess,/ k?n’fes/                                             ,vt.供认，承认；坦白
　　confidence,/ ‘k?nfid?ns/                                             ,n.信任；信赖；信心
　　confident,/ ‘k?nfid?nt/                                             ,n.确信的，自信的
　　confine,/ k?n’fain/                                             ,vt.限制；禁闭
　　confirm,/ k?n’f?:m/                                             ,vt.证实，肯定；批准
　　conflict,"/ ‘k?nflikt, k?n’flikt/                                             ",n.争论；冲突；斗争
　　confuse,/ k?n’fju:z/                                             ,vt.使混乱，混淆
　　congratulate,/ k?n’gr?tjuleit/                                             ,vt.祝贺，向…道喜
　　congress,/ ‘k??gres/                                             ,n.大会；国会，议会
　　conjunction,/ k?n’d?Λ?k??n/                                             ,n.接合，连接；连接词
　　connect,/ k?’nekt/                                             ,vt.连接，连结；联系
　　connection,/ k?’nek??n/                                             ,n.连接，联系；连贯性
　　conquer,/ ‘k??k?/                                             ,vt.征服，战胜；破除
　　conquest,/ ‘k??kwest/                                             ,n.攻取，征服；克服
　　conscience,/ ‘k?n??ns/                                             ,n.良心，道德心
　　conscious,/ ‘k?n??s/                                             ,a.意识到的；有意的
　　consciousness,/ ‘k?n??snis/                                             ,n.意识，觉悟；知觉
　　consent,/ k?n’sent/                                             ,n.同意，赞成 vi.同意
　　consequence,/ ‘k?nsikw?ns/                                             ,n.结果，后果
　　consequently,/ ‘k?nsikw?ntli/                                             ,ad.因此，因而，所以
　　conservation,/ k?ns?(:)’vei??n/                                             ,n.保存，保护；守恒
　　conservative,/ k?n’s?:v?tiv/                                             ,a.保守的 n.保守的人
　　consider,/ k?n’sid?/                                             ,vt.认为；考虑；关心
　　considerable,/ k?n’sid?r?bl/                                             ,a.相当大的；重要的
　　considerate,/ k?n’sid?rit/                                             ,a.考虑周到的；体谅的
　　consideration,/ k?nsid?’rei??n/                                             ,n.考虑，思考；体贴
　　consist,/ k?n’sist/                                             ,vi.由…组成；在于
　　consistent,/ k?n’sist?nt/                                             ,a.坚持的，一贯的
　　constant,/ ‘k?nst?nt/                                             ,a.经常的；永恒的
　　constitute,/ ‘k?nstitju:t/                                             ,"vt. 构成,组成,任命"
　　constitution,/ k?nsti’tju:??n/                                             ,n.章程；体质；构造
　　construct,/ k?n’strΛkt/                                             ,vt.建造；建设；构筑
　　construction,/ k?n’strΛk??n/                                             ,n.建造；建筑；建筑物
　　consult,/ k?n’sΛlt/                                             ,vt.请教，查阅
　　consume,/ k?n’sju:m/                                             ,vt.消耗，消费；消灭
　　consumption,/ k?n’sΛmp??n/                                             ,n.消耗量；消耗
　　contact,"/ ‘k?nt?kt, k?n’t?kt/                                             ",vt.使接触；与…联系
　　contain,/ k?n’tein/                                             ,vt.包含，容纳；等于
　　container,/ k?n’tein?/                                             ,n.容器；集装箱
　　contemporary,/ k?n’temp?r?ri/                                             ,a.当代的，同时代的
　　contempt,/ k?n’tempt/                                             ,n.轻蔑；藐视；受辱
　　content,"/ ‘k?ntent, k?n’tent/                                             ",n.内容，目录；容量
　　content,"/ ‘k?ntent, k?n’tent/                                             ",a.满意的，满足的
　　contest,"/ k?n’test, ‘k?ntest/                                             ",vt.争夺，争取；辩驳
　　continent,/ ‘k?ntin?nt/                                             ,n.大陆；陆地；洲
　　continual,/ k?n’tinju?l/                                             ,a.不断的；连续的
　　continue,/ k?n’tinju(:)/                                             ,vt.继续，连续；延伸
　　continuous,/ k?n’tinju?s/                                             ,a.连续不断的，持续的
　　contract,"/ ‘k?ntr?kt, k?n’tr?kt/                                             ",n.契约，合同；婚约
　　contradiction,/ k?ntr?’dik??n/                                             ,n.矛盾，不一致；否认
　　contrary,/ ‘k?ntr?ri/                                             ,a.相反的 n.相反
　　contrast,"/ ‘k?ntr?st, k?n’tr?st/                                             ",n.对比，对照，悬殊
　　contribute,/ k?n’tribju(:)t/                                             ,vt.捐献，捐助；投稿
　　control,/ k?n’tr?ul/                                             ,vt.控制，克制 n.控制
　　convenience,/ k?n’vi:nj?ns/                                             ,n.便利，方便；厕所
　　convenient,/ k?n’vi:nj?nt/                                             ,a.便利的；近便的
　　convention,/ k?n’ven??n/                                             ,n.习俗，惯例；公约
　　conventional,/ k?n’ven??nl/                                             ,a.普通的；习惯的
　　conversation,/ k?nv?’sei??n/                                             ,n.会话，非正式会谈
　　conversely,/ ‘k?nv?:sli/                                             ,ad.相反地
　　conversion,/ k?n’v?:??n/                                             ,n.转变，转化；改变
　　convert,"/ k?n’v?:t, ‘k?nv?:t/                                             ",vt.使转变；使改变
　　convey,/ k?n’vei/                                             ,vt.传送；运送；传播
　　convince,/ k?n’vins/                                             ,vt.使确信，使信服
　　cook,/ kuk/                                             ,vt.烹调，煮 vt.烧菜
　　cool,/ ku:l/                                             ,a.凉的，冷静的
　　cooperate,/ k?u’?p?reit/                                             ,vi.合作，协作；配合
　　coordinate,/ k?u’?dinit/                                             ,vt.使协调，调节
　　cope,/ k?up/                                             ,vi.对付，应付
　　copper,/ ‘k?p?/                                             ,n.铜；铜币，铜制器
　　copy,/ ‘k?pi/                                             ,n.抄件 vt.抄写，复制
　　cord,/ k?:d/                                             ,n.细绳，粗线，索
　　core,/ k?:/                                             ,n.果实的心，核心
　　corn,/ k?:n/                                             ,n.谷物；(英)小麦
　　corner,/ ‘k?:n?/                                             ,n.角；犄角；边远地区
　　corporation,/ k?:p?’rei??n/                                             ,n.公司，企业；社团
　　correct,/ k?’rekt/                                             ,a.正确的 vt.纠正
　　correspond,/ k?ris’p?nd/                                             ,vi.相符合；相当
　　corresponding,/ k?ris’p?ndi?/                                             ,a.相应的；符合的
　　corridor,/ ‘k?rid?:/                                             ,n.走廊，回廊，通路
　　cost,/ k?st/                                             ,n.价格，代价；成本
　　costly,/ ‘k?stli/                                             ,a.昂贵的；价值高的
　　cottage,/ ‘k?tid?/                                             ,n.村舍，小屋
　　cotton,/ ‘k?tn/                                             ,n.棉；棉线；棉布
　　cough,/ k?f/                                             ,vi.咳，咳嗽 n.咳嗽
　　could,"/ kud, k?d/                                             ",aux.v.(can的过去式)
　　council,/ ‘kaunsil/                                             ,n.理事会，委员会
　　count,/ kaunt/                                             ,vt.计算 vi.数，计数
　　counter,/ ‘kaunt?/                                             ,n.柜台；计数器
　　country,/ ‘kΛntri/                                             ,n.国家，国土；农村
　　countryside,/ ‘kΛntrisaid/                                             ,n.乡下，农村
　　county,/ ‘kaunti/                                             ,n.英国的郡，美国的县
　　couple,/ ‘kΛpl/                                             ,n.夫妇；(一)对；几个
　　courage,/ ‘kΛrid?/                                             ,n.勇气，胆量，胆识
　　course,/ k?:s/                                             ,n.课程；过程；一道菜
　　court,/ k?:t/                                             ,n.法院，法庭；庭院
　　cousin,/ ‘kΛzn/                                             ,n.堂(或表)兄弟(姐妹)
　　cover,/ ‘kΛv?/                                             ,vt.盖，包括 n.盖子
　　cow,/ kau/                                             ,n.母牛，奶牛；母兽
　　crack,/ kr?k/                                             ,n.裂缝，裂纹 vi.爆裂
　　craft,/ kra:ft/                                             ,n.工艺；手艺，行业
　　crane,/ krein/                                             ,n.起重机，摄影升降机
　　crash,/ kr??/                                             ,vi.碰撞，坠落 n.碰撞
　　crawl,/ kr?:l/                                             ,vi.爬，爬行
　　crazy,/ ‘kreizi/                                             ,a.疯狂的，荒唐的
　　cream,/ kri:m/                                             ,n.奶油，乳脂；奶油色
　　create,/ kri(:)’eit/                                             ,vt.创造；引起，产生
　　creative,/ kri(:)’eitiv/                                             ,a.创造性的，创作的
　　creature,/ ‘kri:t??/                                             ,n.生物，动物，家畜
　　credit,/ ‘kredit/                                             ,n.信用贷款；信用
　　creep,/ kri:p/                                             ,vi.爬行；缓慢地行进
　　crew,/ kru:/                                             ,n.全体船员
　　crime,/ kraim/                                             ,n.罪，罪行；犯罪
　　criminal,/ ‘kriminl/                                             ,n.犯人，罪犯，刑事犯
　　crisis,/ ‘kraisis/                                             ,n.危机；存亡之际
　　critic,/ ‘kritik/                                             ,n.批评家，爱挑剔的人
　　critical,/ ‘kritik?l/                                             ,a.决定性的；批评的
　　criticism,/ ‘kritisiz?m/                                             ,n.批评；批判；评论
　　criticize,/ ‘kritisaiz/                                             ,vt.批评；评论；非难
　　crop,/ kr?p/                                             ,n.农作物，庄稼；一熟
　　cross,/ kr?s/                                             ,vt.穿过；使交叉
　　crowd,/ kraud/                                             ,n.群；大众；一伙人
　　crown,/ kraun/                                             ,n.王冠，冕；花冠
　　crude,/ kru:d/                                             ,a.简陋的；天然的
　　cruel,/ ‘kru?l/                                             ,a.残忍的，残酷的
　　crush,/ krΛ?/                                             ,vt.压碎，碾碎；镇压
　　crust,/ krΛst/                                             ,n.面包皮；硬外皮
　　cry,/ krai/                                             ,vi.哭，哭泣；叫喊
　　crystal,/ ‘kristl/                                             ,n.水晶，结晶体；晶粒
　　cube,/ kju:b/                                             ,n.立方形；立方
　　cubic,/ ‘kju:bik/                                             ,a.立方形的；立方的
　　cultivate,/ ‘kΛltiveit/                                             ,vt.耕；种植；培养
　　culture,/ ‘kΛlt??/                                             ,n.文化，文明；教养
　　cup,/ kΛp/                                             ,n.杯子；(一)杯；奖杯
　　cupboard,/ ‘kΛb?d/                                             ,n.碗柜，碗碟橱；食橱
　　cure,/ kju?/                                             ,vt.医治；消除 n.治愈
　　curiosity,/ kju?ri’ositi/                                             ,n.好奇，好奇心；珍品
　　curious,/ ‘kju?ri?s/                                             ,a.好奇的；稀奇古怪的
　　current,/ ‘kΛr?nt/                                             ,a.当前的；通用的
　　curse,/ k?:s/                                             ,n.诅咒，咒骂；天谴
　　curtain,/ ‘k?:tn/                                             ,n.帘，窗帘；幕(布)
　　curve,/ k?:v/                                             ,n.曲线；弯 vt.弄弯
　　cushion,/ ‘ku??n/                                             ,n.垫子，坐垫，靠垫
　　custom,/ ‘kΛst?m/                                             ,n.习惯，风俗；海关
　　customer,/ ‘kΛst?m?/                                             ,n.顾客，主顾
　　cut,/ kΛt/                                             ,vt.切，割，剪；减少
　　cycle,/ ‘saikl/                                             ,n自行车，循环
D,,
daily [‘deili] a,.每日的 n.日报,
dairy [‘d??ri] n,.牛奶场;乳制品,
dam [d?m] n.水坝,",水堤;障碍物",
damage [‘d?mid?,"] vt.损害,毁坏 n.损害",
damp [d?mp] a.潮,"湿的,有湿气的",
dance [dɑ:ns] vi,.跳舞;摇晃 n.舞,
danger [‘deind??,] n.危险;危险事物,
dangerous [‘dein,"d??r?s] a.危险的,不安全的",
dare [d??] vt.&au,x.v.敢;竟敢,
daring [‘de?r??,"] a.大胆的,勇敢的",
dark [dɑ:k] a.暗,的;黑色的,
darling [‘dɑ:li,?] n.亲爱的人;宠儿,
dash [d??] vt.使,猛撞;溅 n.猛冲,
data [‘deit?] n.,数据; 资料,
date [deit] n.日期,vt.注…日期,
daughter [‘d?:t?,] n.女儿,
dawn [d?:n] n.黎明,;开端 vi.破晓,
day [dei] n.(一)天,",白昼,白天",
daylight [‘deila,"it] n.白昼,日光;黎明",
dead [ded] a.死的,",无生命的",
deadly [‘dedli],"a.致命的,死一般的",
deaf [def] a.聋的,;不愿听的,
deal [di:l] n.买卖,;待遇 vt.给予,
dear [di?] a.亲爱,的 int.啊,
death [deθ] n.死,",死亡;灭亡",
debate [di’beit],"n.&vi.争论,辩论",
"debt [det] n.债,债","务,欠债",
decade [‘dekeid，,"d?’ke?d] n.十年,十年期",
decay [di’kei] v,i.腐烂;衰败 n.腐烂,
deceit [di’si:t],"n.欺骗,欺诈",
deceive [di’si:v,"] vt.欺骗,蒙蔽,行骗",
December [di’sem,b?] n.十二月,
decent [‘di:s?nt,，’di?snt] a.正派的;体面的,
decide [di’said],"vt.决定,决心;解决",
decision [di’si?,"?n] n.决定,决心;果断",
deck [dek] n.甲板,;舱面;层面,
declare [di’kl??,] vt.断言;声明;表明,
decorate [‘dek?r,"eit] vt.装饰,装璜,修饰",
decrease [di:’kr,"i:s] vi.&n.减少,减少",
deduce [di’dju:s,"] vt.演绎,推论,推断",
deed [di:d] n.行为,;功绩;契约,
deep [di:p] a.深的,;纵深的,
deepen [‘di:p?n],vt.加深 vi.深化,
deer [di?] n.鹿,,
defeat [di’fi:t],"vt.战胜,击败;挫败",
defect [di’fekt],"n.缺点,缺陷,欠缺",
defence [di’fens,] n.防御;防务;辩护,
defend [di’fend],"vt.保卫,防守",
define [di’fain],vt.给…下定义;限定,
definite [‘defin,it] a.明确的;肯定的,
definitely [‘def,"initli] ad.一定地,明确地",
definition [defi’,"ni??n] n.定义,释义;定界",
degree [di’ɡri:,] n.程度;度;学位,
delay [di’lei] v,t.推迟;耽搁;延误,
delete [di’li:t],vt.删除;擦掉,
delegation [del?’,ge???n] n.代表团,
delicate [‘delik,it] a.纤细的;易碎的,
delicious [di’li,"??s] a.美味的,怡人的",
delight [di’lait,] n.快乐 vt.使高兴,
deliver [di’liv?,"] vt.投递,送交;发表",
delivery [di’liv,?ri] n.投递;交付;分娩,
demand [di’mɑ:n,d] vt.要求;需要;询问,
democracy [di’m?,"kr?si] n.民主,民主制",
democratic [dem?’,"kr?tik] a.民主的,民主政体的",
demonstrate [‘de,m?nstreit] vt.说明;论证;表露,
dense [dens] a.密,集的;浓厚的,
density [‘densit,"i] n.密集,稠密;密度",
deny [di’nai] vt,.否定;拒绝相信,
depart [di’pɑ:t,"] vi.离开,起程;出发",
department [di’p,"ɑ:tm?nt] n.部,司,局,处,系",
departure [di’pɑ,":t??，d?’pɑ?t??(r)] n.离开,出发,起程",
depend [di’pend],"vi.依靠,依赖;相信",
dependent [di’pe,"nd?nt] a.依靠的,依赖的",
deposit [di’p?zi,t] vt.使沉淀;存放,
depress [di’pres,] vt.使沮丧;按下,
depth [depθ] n.深,度;深厚;深处,
derive [di’raiv],vt.取得 vi.起源,
descend [di’send,"] vi.下来,下降;下倾",
describe [dis’kr,"aib] vt.形容;描写,描绘",
description [dis’,"krip?n] n.描写,形容;种类",
desert [‘dez?t],n.沙漠 vt.离弃;擅离,
deserve [di’z?:v,"] vt.应受,值得",
design [di’zain],vt.设计 n.设计;图样,
desirable [di’za,i?r?bl] a.值得相望的;可取的,
desire [di’zai?],vt.相望;要求 n.愿望,
desk [desk] n.书桌,",办公桌",
despair [dis’p??,] n.绝望 vi.绝望,
desperate [‘desp,?rit] a.拼死的;绝望的,
despise [dis’pai,"z] vt.鄙视,蔑视",
despite [dis’pai,"t] prep.不管,不顾",
destination [dest,"i’nei??n] n.目的地,终点;目标",
destroy [dis’tr?,i] vt.破坏;消灭;打破,
destruction [dis’,"tr?k??n] n.破坏,毁灭,消灭",
detail [‘di:teil,] n.细节;枝节;零件,
detect [di’tekt],"vt.察觉,发觉;侦察",
detection [di’te,"k??n] n.察觉,发觉;侦察",
determination [di,t?:mi’nei??n] n.决心;决定;确定,
determine [di’t?,:min] vt.决定;查明;决心,
develop [di’vel?,p] vt.发展;形成;开发,
development [di’,vel?pm?nt] n.发展;开发;生长,
device [di’vais],"n.器械,装置;设计",
devil [‘devl] n.,"魔鬼,恶魔",
devise [di’vaiz],"vt.设计,发明",
devote [di’v?ut],"vt.将…奉献,致力于",
"dew [dju:] n.露,露",水,
diagram [‘dai?ɡ,"r?m] n.图解,图表,简图",
dial [‘dai?l] n.,钟面;拨号盘 vt.拨,
dialect [‘dai?le,"kt] n.方言,土语,地方话",
dialog [‘dai?l?ɡ,"] n.对话,对白",
diameter [dai’?,mit?] n.直径,
diamond [‘dai?m?,"nd] n.金钢石,钻石;菱形",
diary [‘dai?ri],"n.日记,日记簿",
dictate [dik’tei,t] vt.&vi.口授;命令,
dictation [dik’t,"ei??n] n.口授笔录,听写",
dictionary [‘dik,"??n?ri] n.词典,字典",
"die [dai] vi.死,死",亡;灭亡,
differ [‘dif?] v,"i.不同,相异",
difference [‘dif,?r?ns] n.差别;差;分歧,
different [‘dif?,r?nt] a.差异的;各种的,
difficult [‘difi,k?lt] a.困难的;难对付的,
difficulty [‘dif,ik?lti] a.困难;难事;困境,
"dig [diɡ] vt.掘,",挖;采掘,
digest [dai’d?es,t] vt.消化;领会 n.文摘,
digital [‘did?it,"?l] a.数字的,计数的",
diligent [‘dilid,"??nt] a.勤勉的,勤奋的",
dim [dim] a.昏暗的,;朦胧的,
dimension [di’me,"n??n] n.尺寸,尺度;面积",
dinner [‘din?] n,".正餐,主餐;宴会",
"dip [dip] vt.浸,蘸",vi.浸一浸,
direct [di’rekt],a.直接的;直率的,
direction [di’re,"k??n] n.方向,方位;指导",
directly [di’rek,tli] ad.直接地;立即,
director [di’rek,t?，d?’rekt?(r)，da?-] n.指导者;理事;导演,
"dirt [d?:t] n.尘,","土;污物,污垢",
dirty [‘d?:ti] a,.脏的;下流的,
disable [dis’eib,"l] vt.使无能,使伤残",
disadvantage [dis,"?d’vɑ:ntid?] n.不利,不利地位",
disagree [dis?’ɡ,ri:] vi.有分歧;不一致,
disappear [dis?’,"pi?] vi.不见,失踪;消失",
disappoint [dis?’,"p?int] vt.使失望,使受挫折",
disaster [di’zɑ,":st?] n.灾难,灾祸;天灾",
disk [disk] n.圆盘,",唱片;磁盘",
discard [dis’kɑ,":d] vt.丢弃,抛弃,遗弃",
discharge [dis’t,?ɑ:d?] vt.释放;排出 n.释放,
discipline [‘dis,iplin] n.纪律;训练 vt.训练,
disclose [dis’kl,"?uz] vt.揭开,揭发;透露",
discourage [dis’,"k?rid?] vt.使泄气,使灰心",
discover [dis’k?,"v?] vt.发现;暴露,显示",
discovery [dis’k,?v?ri] n.发现;被发现的事物,
discuss [dis’k?s,"] vt.讨论,谈论;论述",
discussion [dis’,"k???n] n.讨论,谈论;论述",
disease [di’zi:z,"] n.病,疾病;病害",
disguise [dis’ɡ,"aiz] vi.隐瞒,掩埋 n.假装",
disgust [dis’ɡ?,"st] n.厌恶,憎恶",
"dish [di?] n.碟,盘",子;菜肴,
dishonour [dis’?,n?] n.不光彩;丢脸的人,
dislike [dis’lai,"k] vt.&n.不喜爱,厌恶",
dismiss [dis’mis,] vt.不再考虑;解雇,
disorder [dis’?:,"d?] n.混乱,杂乱;骚乱",
display [dis’ple,"i] vt.陈列,展览;显示",
disposal [dis’p?,"uz?l] n.丢掉,处理,销毁",
dispose [dis’p?u,"z] vi.去掉,丢掉;销毁",
displease [d?s’p,"li:z] vt.使不愉快,使生气",
dispute [dis’pju,":t] vi.争论,争执 n.争论",
dissatisfy [d?s’,"s?t?sfa?] vi.使不满,使不平",
dissolve [di‘z?l,v] vt.使溶解;解散,
distance [‘dist?,"ns] n.距离,间距;远处",
distant [‘dist?n,"t] a.在远处的,疏远的",
distinct [dis’ti,?kt] a.与其他不同的,
distinction [dis’,"ti?k??n] n.差别,不同,区分",
distinguish [dis’,"ti?ɡwi?] vt.区别,辨别,认别",
distress [dis’tr,"es] n.忧虑,悲伤;不幸",
distribute [dis’,"tribju:t] vt.分发,分送;分布",
distribution [dis,"tri’bju:??n] n.分发,分配;分布",
district [‘distr,"ikt] n.区;地区,区域",
disturb [dis’t?:,"b] vt.打扰,扰乱;弄乱",
ditch [dit?] n.沟,",沟渠,渠道",
dive [daiv] vi.跳,水;潜水;俯冲,
diverse [dai’v?s,"，da?’v??s] a.不一样的,相异的",
divide [di’vaid],vt.分;分配;分开,
division [di’vi?,"?n] n.分,分配;除法",
divorce [di’v?:s,"ei] n.离婚,离异 vi.离婚",
"do [du:, du, d?,","d] aux.v. vt.做,干,办",
dock [d?k] n.船坞,;码头;船厂,
doctor [‘d?kt?],"n.医生,医师;博士",
document [‘d?kju,"m?nt] n.公文,文件;证件",
"dog [d?ɡ] n.狗,犬",",犬科动物",
dollar [‘d?l?] n,.元(货币单位),
domestic [d?’mes,tik] a.本国的;家庭的,
donkey ['d??ki],n.驴;笨蛋,
"door [d?:] n.门,通",道;一家,
dorm [d?:m] n.宿舍,,
dormitory [‘d?:m,itri] n.集体寝室;宿舍,
dose [d?us] n.剂量,",用量;一剂",
"dot [d?t] n.点,圆",点 vt.打点于,
double [‘d?bl] a,.两倍的;双的,
doubt [daut] n.怀,疑;疑虑 vt.怀疑,
doubtful [‘dautf,ul] a.难以预测的;怀疑的,
doubtless [‘daut,lis] ad.无疑地;很可能,
down [daun] ad.向,"下,在下面",
downstairs [‘dau,n’st??z] ad.在楼下 a.楼下的,
downward [‘daunw,?d] a.向下的 ad.向下地,
dozen [‘d?zn] n.,"一打,十二个",
draft [drɑ:ft] n,.草稿;汇票 vt.起草,
drag [dr?ɡ] vt.,"拖,拉;拖曳",
dragon [‘dr?ɡ?,n] n.龙;凶暴的人,
drain [drein] vt.,排去;放水 n.耗竭,
drama [‘drɑ:m?],"n.一出戏剧,剧本",
dramatic [dr?’m?,"tik] a.引人注目的,戏剧的",
draw vt [dr?:].画,",划;拖;拨出",
drawer [dr?:] n.抽,屉,
drawing [‘dr?:??,"] n.图画,素描;绘图",
dread [dred] n.畏,惧;恐怖 vt.惧怕,
dream [dri:m] n.梦,;梦想 vi.做梦,
dress [dres] n.女,"服,童装;服装",
drift [drift] vi.,"漂流,漂泊 n.漂流",
drill [dril] n.钻,头;操练 vi.钻孔,
drink [dri?k] vt,.饮 vi.喝 n.饮料,
drip [drip] vi.滴,下;漏水 n.水滴,
drive [draiv] vt.,驾驶;打入;驱,
driver [‘draiv?],"n.驾驶员,司机",
drop [dr?p] vt.使,落下;降低,
drought [draut] n,".旱灾,干旱",
drown [draun] vi.,"淹死,溺死",
drug [dr?ɡ] n.药,",药物,药材",
drum [dr?m] n.鼓;,"鼓状物,圆桶",
drunk [dr??k] a.,醉的;陶醉的,
dry [drai] a.干的,",干燥的",
"duck [d?k] n.鸭,雌",鸭;鸭肉,
due [dju:] a.预期,的;应给的,
dull [d?l] a.枯燥,的;不鲜明的,
dumb [d?m] a.哑的,;无言的,
dump [d?mp] vt.倾,"卸,倾倒;倾销",
durable [‘dju?r?,"bl] a.耐久的,耐用的",
duration [dju?’r,"ei??n] n.持续,持久",
during [‘dju?ri?,] prep.在…期间,
dusk [d?sk] n.薄暮,",黄昏,幽暗",
dust [d?st] n.尘土,",灰尘",
duty [‘dju:ti] n,.职责;责任;税,
dwelling [‘dwel?,"?] n.住处,寓所",
dye [dai] vt.染 n,.染料;染色,
dying [‘da???],a.垂死的;临终的,
dynamic [dai’n?,mik] a.有活力的;动力的,
E,,
each/                                                                                              ,i:t?/                                             ,pron.各，各自 a.各
