mercy,"n.仁慈,怜悯,宽恕"
plentiful,"a.富裕的,丰富的"
plenty,"n.丰富,大量"
plight,"n.情况,状态,困境,盟誓(婚姻) v.保证,约定"
plot,"n.秘密计划;情节 v.标绘,绘制;密谋,策划"
plough,"n.(plow)犁,耕地,犁过的地 v.犁,费力地前进"
plug,"n.塞子,插头 v.堵,塞,插上,插栓"
plumber,n.(装修水管的)管子工
plunge,"v.(into)(使)投入,(使)插进,陷入;猛冲"
plural,a.复数的 n.复数
plus,"prep.加上 a.正的,加的 n.加号,正号"
pneumonia,n.肺炎
pocket,"n.衣袋 a.袖珍的,小型的 v.把…装入袋内"
poem,n.诗
poet,n.诗人
poetry,"n.诗歌,诗集"
point,"n.尖;点;条款;分数,得分;论点 v.(at,to)指"
poison,"n.毒物,毒药 v.放毒,毒害,污染"
poisonous,"a.有毒的,恶意的,恶毒的,道德败坏的"
poke,"n.刺,戳,懒汉,袋子 v.戳,刺,伸出,刺探,闲荡"
polar,"a.两极的,极地的,南辕北辙的 n.极线,极面"
pole,"n.柱,杆;地极,磁极,电极"
police,"n.警察,警察机关 a.警察的 v.管辖"
policeman,n.警察
policy,"n.政策,方针"
polish,"v.磨光,擦亮;使优美,润饰 n.擦光剂,上光蜡"
polite,"a.有礼貌的,客气的;有教养的,文雅的"
political,a.政治的
politician,"n.政治家,政客"
politics,"n.政治,政治学;政纲,政见"
poll,n.民意测验;(pl.)政治选举 v.获得…选票
pollute,"v.弄脏,污染"
pollution,n.污染
pond,n.池塘
ponder,"v.沉思,考虑"
pool,"n.水池,游泳池;合资经营v.合伙经营,联营"
poor,a.贫困的；可怜的；贫乏的；贫瘠的；低劣的
pop,a.流行的n.(发出)砰的一声 v.突然出现
pope,"n.罗马教皇,主教,大腿上要害部位"
popular,"a.流行的,通俗的,大众的;广受欢迎的"
population,"n.人口,(全体)居民"
porcelain,"n.瓷器 a.精制的,瓷器的"
porch,"n.门廊,入口处"
pork,n.猪肉
port,n.港口
portable,"a.轻便的,手提(式)的,可移动的"
porter,"n.守门人,门房,行李搬运工,服务员"
portion,"n.一部分,一份"
portrait,"n.肖像,画像"
portray,v.描写，描述；画(人物、景象等)
pose,"n.姿势,姿态 v.造成,提出,摆姿势,佯装"
position,"n.位置;职位;姿势,姿态;见解,立场,形势"
positive,"a.肯定的,积极的,绝对的,无疑的,正的"
possess,"v.占有,拥有"
possession,"n.持有,拥有;所有权;所有物;(pl.)财产,财富"
possibility,"n.可能,可能性;可能的事,希望"
possible,"a.可能的,做得到的;合理的;可允许的"
possibly,ad.可能地，也许；无论如何
post,"v.贴出;公告;投寄 n.(支)柱;邮政,邮寄;职位"
postage,"n.邮费,邮资"
postcard,n.明信片
poster,"n海报,张贴的大幅广告"
postman,n.邮递员
postpone,"v.推迟,延期"
posture,"n.姿势,姿态,心态,态度 v.作出某种姿势"
pot,"n.罐,壶"
potato,"n.马铃薯,土豆"
potential,"a.潜在的,可能的 n.潜能,潜力"
poultry,n.家禽
pound,"n.磅;英镑 v.(连续)猛击,(猛烈)敲打,捣碎"
pour,"v.灌注, 倾泻, 涌入, 流, 倾盆大雨"
poverty,"n.贫穷,贫困"
powder,"n.粉末,药粉;火药,炸药"
power,"n.力,精力;功率,电力;(数学)幂;权力,势力"
powerful,"a.强大的,有力的,有权的"
practical,"a.实际的,实用的"
practically,"ad.几乎,实际上,简直"
practice,"n.练习,实践,实际,业务,惯例,习惯"
practise,"v.练习,实习,实践,实行,使...练习,训练"
practitioner,n.实践者，从事者；(医生或律师等)开业者
praise,"v.赞扬,歌颂;表扬 n.称赞,赞美;赞美的话"
pray,"v.请求,恳求;祈祷,祈求"
prayer,"n.祈祷,祷告,祷文"
preach,"v.宣讲(教义),布道;竭力鼓吹,宣传;说教"
precaution,"n.预防,谨慎,警惕"
precede,"v.领先(于),在(…之前);优先,先于"
precedent,n.先例
preceding,"a.在前的,在先的"
precious,"a.珍贵的,贵重的"
precise,"a.精确的,准确的"
precision,"n.精确,精确度"
preclude,"v.排除,阻止,妨碍"
predecessor,n.前辈，前任
predict,"v.预言,预测,预告"
predominant,"a.(over)占优势的;主要的,突出的"
preface,"n.序言,引言,前言 v.作序,写前言"
prefer,"v.(to)更喜欢,宁愿"
preferable,"a.(to)更可取的,更好的"
preference,"n.(for,to)偏爱,喜爱;优惠;优先选择"
pregnant,"a.怀孕的,孕育的,充满的,意味深长的"
prejudice,"n.偏见,成见;损害,侵害 v.使抱偏见,损害"
preliminary,"a.预备的,初步的"
premier,"n.首相,总理"
premise,"n.前提,房屋连地基v.提论,预述,假定"
premium,"n.额外费用,奖金,奖赏,保险费"
preparation,"n.准备,预备;制剂,制备品"
prepare,"v.准备,预备"
preposition,n.介词
prescribe,"v.指示,规定;处(方),开(药)"
prescription,"n.药方,处方"
presence,"n.出席,到场,存在,在"
present,"a.出席的,现在的 n.现在,礼物 v.赠送,提出"
presently,"ad.一会儿,不久;现在,目前"
preserve,"v.保护,维持;保存,保藏"
preside,"v.(at,over)主持"
president,"n.总统,校长,会长,主席"
press,"v.压;压榨;紧迫,催促 n.报刊,通讯社;压榨机"
pressure,"n.压,压力,压迫,强制,紧迫,困苦,困难"
prestige,"n.声望,威望,威信"
presumably,"ad.推测起来,大概"
presume,"v.假定,假设,认为,揣测,滥用,擅自行动"
pretend,"v.假装,假托,借口,(在演戏中)装扮"
pretext,"n.借口,托词"
pretty,ad.相当，很a.漂亮的，俊俏的，标致的
prevail,"v.(over,against)取胜,占优势;流行,盛行"
prevalent,"a.流行的,普遍的"
prevent,"v.(from)预防,防止,阻止,制止,妨碍"
previous,"a.先前的,以前的"
prey,"n.被掠食者,牺牲者,掠食 v.捕食,掠夺,折磨"
price,"n.价格,价钱;代价 v.标价"
prick,"n./v.刺伤,刺痛,刺孔"
pride,n.自豪;自满；引以自豪的东西 v.使自豪
priest,"n.教士,神父"
primary,"a.最初的,初级的;首要的,主要的,基本的"
prime,"a.首要的;最好的,第一流的 n.青春,全盛期"
primitive,"a.原始的,远古的,早期的;粗糙的,简单的"
prince,"n.王子,亲王"
princess,"n.公主,王妃"
principal,"a.最重要的,主要的n.负责人,校长;资本,本金"
principle,"n.原理,原则;主义,信念"
print,"n.印刷,印刷品,字体 v.印刷,出版;洗印"
prior,"a.优先的,在前的;(to)在…之前"
priority,"n.先,前;优先,重点,优先权"
prison,n.监狱
prisoner,n.囚犯
privacy,n.(不受干扰的)独处，自由，隐私；私生活
private,"a.私人的,个人的,秘密的,私下的"
privilege,"n.特权,优惠,特许 v.给予优惠,给予特权"
prize,"n.奖赏,奖金,奖品 v.珍视,珍惜"
probability,"n.可能性,或然性,概率"
probable,"a.很可能的,大概的;有希望的,可能的"
probe,"n.探针,探测器 v.(以探针等)探查,穿刺,查究"
problem,"n.问题,疑难问题;思考题,讨论题"
procedure,"n.程序,手续,步骤"
proceed,"v.进行,继续下去;发生"
proceeding,"n.行动,进行,(pl.)会议录,学报"
process,"n.过程,进程;工序,制作法;工艺 v.加工,处理"
procession,"n.队伍,行列"
proclaim,"v.宣告,声明"
produce,"v.生产,制造,显示,演出,导致 n.产品"
product,"n.产品,产物;乘积"
production,"n.生产,产品,作品,(研究)成果,总产量"
productive,"a.生产(性)的,能产的,多产的"
productivity,n.生产率
profession,"n.职业,专业,表白,宣布"
professional,"a.职业的,专门的 n.自由职业者,专业人员"
professor,n.教授
proficiency,"n.(in)熟练,精通"
profile,"n.侧面(像);轮廓,外形;人物简介"
profit,"n.利润,收益 v.(by,from)得利,获益;有利于"
profitable,"a.有利可图的,有益的"
profound,"a.深刻的,意义深远的;渊博的,造诣深的"
programme,"n.(program)节目,计划,规划,程序 v.编程序"
progress,v./n.进步，进展；前进
progressive,"a.进步的,先进的;前进的"
prohibit,"v.禁止,不准;阻止"
project,"n.方案,工程,项目v.投射,放映;设计,规划"
projector,"n.放映机,幻灯机,投影仪"
prolong,"v.拉长,延长,拖延"
prominent,"a.突起的,凸出的;突出的,杰出的"
promise,"v.允许,答应;有…可能n.承诺;希望,出息"
promising,"a.有希望的,有前途的"
promote,"v.促进,发扬;提升,提拔;增进,助长"
prompt,"a.敏捷的,迅速的,即刻的 v.激起,促进,推动"
prone,"a.倾向于,俯伏的,倾斜的,陡的"
pronoun,n.代词
pronounce,"v.发…的音;宣布,宣判"
pronunciation,"n.发音,发音方法"
proof,"n.证据,证明;校样,样张"
propaganda,n.宣传(机构)；[天主教]传道总会
propel,vt.推进，推动；激励，驱使
proper,a.适合的;合乎体统的;固有的;有礼貌的
property,"n.财产,资产,地产,房地产,所有物;性质,特性"
prophet,n.预言家；先知；提倡者
proportion,"n.比例;部分;均衡,相称"
proposal,"n.提议,建议;求婚"
propose,"v.提议,建议;提名,推荐;求婚"
proposition,"n.主张,建议;陈述,命题"
prose,n.散文 a.散文的
prosecute,vt.实行，从事 v.起诉，告发 vi.作检察官
prospect,"n.景色;前景,前途,展望"
prospective,a.预期的
prosper,"v.成功,兴隆,昌盛,使成功,使昌隆,繁荣"
prosperity,"n.繁荣,兴旺"
prosperous,"a.繁荣的,兴旺的,茂盛的,顺利的"
protect,"v.(from)保护,保卫"
protein,n.蛋白质
protest,"v./n.主张,断言,抗议,反对"
prototype,n.原型；典型，范例
proud,a.(of)自豪的;引以自豪的;妄自尊大的
prove,"v.证明,证实;检验;考验;鉴定;结果是,表明是"
provide,"v.供应,供给,准备,预防,规定"
provided,"conj.倘若,只要,假如"
province,"n.省;领域,范围,本分"
provision,"n.供应,(一批)供应品;预备;条款;(pl.)给养"
provoke,v.挑动;激发;招惹
prudent,"a.谨慎的,智慧的,稳健的,节俭的"
psychiatry,n.精神病学，精神病疗法
psychology,"n.心理,心理学,心理状态"
pub,n.(英国)小酒店；小旅馆
public,"a.公共的,公用的;公开的,公然的n.公众,民众"
publication,"n.出版物;出版,发行;公布,发表"
publicity,"n.公开,宣传,广告,推销"
publish,"v.出版,刊印;公布,发布"
puff,"n.一阵,一股(气味等);喘息;吹嘘v.喘息,鼓吹"
pull,"v.拉,拖 n.拉,拖;拉力,牵引力"
pulse,"n.脉搏,脉冲"
pump,"n.泵 v.用(泵)抽(水);打气,泵送"
punch,"n.冲压机,冲床;穿孔机 v.冲压,穿孔"
punctual,"a.严守时刻的,准时的,正点的"
punish,"v.惩罚,处罚"
pupil,"n.学生,小学生;瞳孔"
puppet,"n.木偶,傀儡"
purchase,"v.买,购买 n.购买的物品"
pure,"a.纯的,纯洁的;纯理论的,抽象的;完全的"
purify,"v.使纯净,提纯"
purple,a.紫的 n.紫色
purpose,"n.目的,意图;用途,效果"
purse,n.钱包
pursue,"v.追赶,追踪;继续,从事"
pursuit,"n.追赶,追求;职业,工作"
push,"v.推;催逼,逼迫 n.推,推力;促进,推进"
put,vt.放，搁，置；表达；使处于...状态，记下
puzzle,"n.难题,谜,迷惑 v.(使)迷惑,(使)为难"
pyramid,n.金字塔
qualification,"n.资格,合格;限定,条件;合格证"
qualify,"v.(使)具有资格,证明合格;限制,限定;修饰"
qualitative,"a.性质上的,定性的"
quality,"n.质量,品质,特性"
quantify,v.确定数量
quantitative,"a.数量的,定量的"
quantity,"n.量,数量;大量"
quarrel,"v.争吵,争论 n.争吵,争吵的原因"
quart,n.夸脱
quarter,n.四分之一;季;一刻钟;(pl.)方向;(pl.)住处
quarterly,a.每季的 ad.每季一次 n.季刊
quartz,n.石英
queen,"n.女王,皇后,王后"
queer,"a.奇怪的,古怪的"
quench,"v.熄灭,扑灭,压制,抑制,止渴"
quest,n.探寻，探求；寻求，追求
question,"n.问题;询问 v.询问;怀疑,对…表示疑问"
questionnaire,"n.调查表,问卷"
queue,"n.行列,长队 v.(up)排队,排队等待"
quick,"a.快的;灵敏的,伶俐的;敏锐的 ad.快,迅速地"
quiet,"a.安静的,平静的 n.安静 v.使安静,平静"
quilt,n.被子
quit,"v.离开,退出;停止,放弃,辞职"
quite,"ad.十分,完全;相当,颇;的确,真正"
quiver,"v./n.颤抖,抖动"
quiz,"n.小型考试,测验,问答比赛"
quota,n.(生产、进出口等的)配额，(移民的)限额
quote,"v.引用,援引"
rabbit,n.兔子
race,"n.赛跑;人种,种族;属,种 v.赛跑"
racial,"a.种的,种族的"
rack,"n.挂物架,搁物架 v.使痛苦,折磨"
racket,n.球拍
radar,n.雷达
radiant,"a.发光的,辐射的,容光焕发的"
radiate,"v.放射,辐射;散布,传播"
radical,"a.基本的,重要的;激进的,极端的;根本的"
radio,n.收音机；无线电报，无线电话v.无线电通讯
radioactive,"a.放射性,放射引起的"
radius,"n.半径,半径范围,有效航程,范围,界限"
rag,"n.抹布,破布,碎布"
rage,n.愤怒
raid,"n/v..袭击,搜查"
rail,"n.栏杆,围栏;(pl.)铁路;铁轨;横杆,栏杆"
railroad,n.(railway)铁路 v.由铁道运输
rain,n.雨；雨天；下雨 vi.下雨 vt.使大量落下
rainbow,n.虹
raise,"v.举起,提升;增加;饲养;引起;竖起;提出"
rake,"n.耙子,耙机 v.耙;搜索,探索"
rally,"v.重整,恢复,振作 n.聚集,集会,拉力赛"
random,"a.随机的,随意的 n.随机,随意"
range,"n.范围,领域;排列,连续;(山)脉v.排列成行"
rank,"n.军衔,社会阶层;排 v.分等级,把…分类"
rap,"n.叩击,轻拍,斥责 v.敲,拍,打,斥责,使着迷"
rape,"n./vt.掠夺,蹂躏,强奸"
rapid,"a.快,急速的 n.(pl.)急流,湍滩"
rare,"a.稀有的,难得的,珍奇的;稀薄的,稀疏的"
rarely,"ad.很少,难得,非常地"
rash,"a.轻率的,鲁莽的 n.皮疹"
rat,n.鼠
rate,"n.速率;等级;价格,费用 v.估价;评级,评价"
rather,"ad.相当,有一点儿;宁愿,宁可"
ratio,"n.比,比率"
rational,"a.理性的,合理的"
raw,"a.未煮过的,生的;未加工过的,未经训练的"
ray,"n.光线,射线"
razor,n.剃刀
reach,"v.抵达;(out)伸手,够到 n.能达到的范围"
react,"v.反应,起作用;(against)反对,起反作用"
read,v.朗读；阅读 vt.辨认，观察 vi.读到，获悉
reader,n.读者；读本，读物；(英国的)大学讲师
readily,"ad.容易地;乐意地,欣然地"
reading,"n.读书,读物,(仪表等的)读数,阅读"
ready,"a.(for)准备好的,现成的;甘心的"
real,"a.真的,真实的;实际的,现实的"
realise,"v.(realize)认识到,体会到;实现"
realistic,a.现实(主义)的
reality,"n.现实,实际;真实"
really,"ad.确实,实在,真正地,果然"
realm,"n.王国,国土;领域"
reap,"v.收割,收获"
rear,"n.后面,背后,后方 v.饲养,抚养,栽培,举起"
reason,"n.原因,理性,理智 v.推理,说服,辩论,讨论"
reasonable,"a.合理的,有道理的;通情达理的;适度的"
reassure,v.使安心，使放心；使消除疑虑
rebel,"v.反抗,反叛,起义 n.叛逆者,起义者"
rebellion,"n.叛乱,反抗,起义"
recall,"v.回忆,回想;撤消,收回"
recede,"v.退回,后退;收回,撤回;跌落,缩减,贬值"
receipt,"n.收据,收条;收到,接到"
receive,"v.收到,接到;遭受,受到;接待,接见"
recent,"a.新近的,近来的"
reception,"n.接待,招待会;接收,接受,接收效果"
recipe,"n.烹饪法,食谱;诀窍,方法"
recipient,"a.接受的,感受性强的 n.接受者,感受者,容器"
reciprocal,"a.相互的,往复的,互利的"
recite,"v.背诵,朗诵"
reckless,"a.不注意的,大意的,卤莽的,不顾后果的"
reckon,"v.计算,总计,估计,猜想,依赖"
reclaim,"v.要求归还,收回;开垦"
recognition,"n.认出,辨认;承认"
recognize,"v.(recognise)认出,承认,公认,赏识,表扬"
recollect,"v.回忆,想起,记起,忆起,记得"
recommend,"v.推荐,介绍;劝告,建议"
reconcile,"v.使和好,调解,使调和;(to,with)使一致"
record,n.记录;最高记录;履历;唱片v.记录;录音
recorder,n.记录员;录音机
recover,"v.收回;(from)恢复,痊愈;重新获得"
recovery,"n.痊愈,复元;重获,恢复"
recreation,"n.娱乐,消遣"
recruit,v.征募(新兵)，吸收；补充 n.新成员，新兵
rectangle,"n.[数]矩形, 长方形"
rectify,"v.纠正,整顿, [化]精馏"
recur,v.(尤指不好的事)一再发生；重现
recycle,"v./n.再循环,重复利用"
red,a.红的，红色的 n.红色；红色颜料
reduce,"v.减少,缩小;简化,还原"
reduction,"n.减小,减少,缩小"
redundant,"a.多余的,过剩的;(食物)丰富的;被解雇的"
reed,"n.芦苇,苇丛;芦笛,牧笛"
reel,"n.卷筒,线轴 v.卷,绕"
refer,"v.参考,查询;提到,引用,涉及;提交,上呈"
reference,"n.提及,涉及;参考,参考书目;证明书（人）"
refine,"v.精炼,精制,提纯;使文雅,使高尚"
reflect,"v.反射,反映,表现,反省,沉思"
reflection,"n.(reflexion)映像,倒影;反省,沉思"
reform,"v./n.改革,改造,改良"
refrain,"v.节制,避免,制止 n.(诗的)叠句"
refresh,"v.(使)精神振作,(使)精力恢复"
refreshment,"n.(pl.)点心,饮料;精力恢复,爽快"
refuge,"n.避难处,藏身处"
refugee,n.(政治上的)避难者，难民
refund,"n.归还,偿还额,退款 v.退还,偿还,偿付"
refusal,"n.拒绝,回绝"
refuse,"v.拒绝,谢绝 n.废物,垃圾"
refute,"v.反驳,驳斥"
regard,"v.(as)把…看作为;考虑n.(pl.)敬重,问候"
regarding,"prep.关于,有关"
regardless,"a./ad.不管…的,不顾…的,不注意的"
regime,"n.政体,制度"
region,"n.地区,地带,行政区,(科学等)领域"
register,"n./v.登记,注册 v.(仪表等)指示,(邮件)挂号"
regret,"v./n.遗憾,懊悔,抱歉"
regular,"a.有规律的;整齐的,匀称的,正规的,正式的"
regulate,"v.管制,控制;调节,校准;调整"
regulation,"n.规则,规章;调节,校准;调整"
rehearsal,"n.排练,排演,演习,预演,试演"
reign,"n./v.统治,支配,盛行 n.统治时期 v.占优势"
rein,"n.缰绳,统治,支配 v.驾驭,控制,统治"
reinforce,"v.增援,加强"
reject,"v.拒绝,抵制,丢弃,排斥,退掉 n.落选者"
rejoice,"v.(使)欣喜,(使)高兴"
relate,"v.叙述,讲述;使互相关联"
relation,"n.关系,联系;亲属,亲戚"
relationship,"n.关系,联系"
relative,"a.相对的,比较的,有关系的 n.亲戚,关系词"
relativity,n.相关(性);相对论
relax,"v.(使)松驰,放松"
relay,"v.中继,转播,接力 n.接替人员,替班"
release,"v.释放,解放;发表,发行 n.释放,豁免,放松"
relevant,"a.有关的,中肯的,相应的,实质性的"
reliable,"a.可靠的,可信赖的,确实的"
reliance,"n.信任,信心,依靠,依靠的人或物"
relief,"n.(痛苦等)减轻,解除;援救,救济"
relieve,"v.减轻,解除,援救,救济,换班"
religion,"n.宗教,信仰"
religious,"a.宗教的,信教的,虔诚的"
relish,"n.美味,味道,调味品,食欲,乐趣 v.喜欢,品味"
reluctant,"a.不愿的,勉强的"
rely,"v.(on)依赖,依靠;信赖,信任"
remain,"v.剩下,余留;留待,尚须;仍然是,依旧是"
remainder,"n.剩余物,剩下的;余数,余项"
remains,"n.(pl.)剩余,残余,遗迹"
remark,"n.(about,on)评语,意见 v.(on)评论;注意到"
remarkable,"a.值得注意的;显著的,异常的,非凡的"
remedy,"n.药品;治疗措施 v.治疗,医治;纠正,补救"
remember,"v.记住;(to)转达问候,代…致意,代…问好"
remind,"v.(of)提醒,使想起"
remnant,"n.剩余(物),零料,遗迹[风] a.剩余的,残留的"
remote,"a.远的,遥远的,疏远的,偏僻的,细微的"
removal,"n.移动,迁居;除去"
remove,"v.移动,脱掉,调动,免职"
renaissance,n.[the R-]文艺复兴(时期)；新生，复兴
render,"v.使得,致使;提出,提供,呈报"
renew,"v.(使)更新,恢复,重新开始,继续"
renovate,"v.更新,修复"
rent,"v.租,租赁 n.租金"
repair,"n.修理,修补 v.补救,纠正;修理"
repay,"v.偿还,报答"
repeat,"v.重复,重说,重做 n.重复"
repeatedly,"ad.重复地,再三地"
repel,"v.击退,抵制,使厌恶,使不愉快"
repertoire,"n.节目,全部剧目,保留剧目,全部技能"
repetition,"n.重复,反复"
replace,"vt.取代,替换,代替,把...放回原处"
replacement,"n.取代,替换,替换物,代替物"
reply,"v./n.(to)回答,答复,以…作答"
report,"n./v.报告,汇报;传说,传阅"
reporter,"n.报告人,通讯员;记者,报导者"
represent,"v.描述,表示;代表,代理;阐明,说明"
representative,"n.代表,代理人 a.(of)典型的,有代表性的"
repression,n.压抑，压制，镇压
reproach,"v./n.责备,指责"
reproduce,"v.生殖;翻版;繁殖;复制,仿造"
reptile,n.爬行动物
republic,"n.共和国,共和政体"
republican,a.共和的
reputation,"n.名誉,名声,声望"
request,"v./n.请求,要求"
require,"v.需要;(of)要求,命令"
requirement,"n.(for)需要,需要的东西,要求"
rescue,"v./n.营救,援救"
research,"v./n.(into,on)研究,调查"
resemblance,"n.相似,相似性[点,物]"
resemble,"v.像,类似"
resent,"v.对…表示忿恨,怨恨"
reservation,"n.保留,保留意见;预定,预订"
reserve,"n.储备(物),储备金;缄默 v.保留,储备;预定"
reservoir,"n.水库,蓄水池"
residence,"n.住处,住宅"
resident,"n.居民,常住者 a.居住的"
resign,"v.辞去,辞职,使听从(于),使顺从"
resist,"v.抵抗,反抗;抗,忍得住,抵制"
resistance,"n.(to)抵抗,反抗;抵抗力,阻力;电阻"
resistant,"a.(to)抵抗的,有抵抗力的"
resolute,"a.坚决的,果断的"
resolution,"n.坚决,决心;决定,决议"
resolve,"v.决心;(使)分解,溶解;决议 n.解决;决心"
resort,"v.凭借,求助,诉诸n.度假胜地,常去之处,手段"
resource,"n.(pl.)资源,财力;办法,智谋;应变之才"
respect,"n./v.尊敬,尊重 n.敬意,问候,关系,方面"
respective,"a.各自的,各个的"
respond,"v.回答,响应,作出反应"
response,"n.回答,响应,反应"
responsibility,"n.责任,责任心;职责,任务"
responsible,"a.(for,to)应负责的;可靠的;责任重大的"
rest,n.休息；剩余部分 v.休息；睡；放，靠，搁
restaurant,"n.餐馆,饭店"
restless,a.得不到休息的;不平静的;坐立不安的
restore,"v.恢复,使回复;归还,交还;修复,重建"
restrain,"v.(from)抑制,制止"
restraint,"n.抑制,制止"
restrict,"v.限制,约束"
result,"n.结果,成绩 v.结果,致使,导致,由…而造成"
resultant,a.作为结果而发生的;合成的
resume,"n.个人简历 v.再继续,重新开始;再用;恢复"
retail,n.零售
retain,"v.保持,保留"
retention,"n.保留,保持,保持力,记忆力"
retire,"v.退休,引退;退却,撤退;就寝"
retort,"n./v.报复,反击,反驳"
retreat,"v.撤退,退却"
retrieve,vt.重新得到，取回；挽回，补救；检索
retrospect,v./n.回顾，回想，追溯[反]foresee
return,"v./n.返回,回来;归还,送还;回答"
reveal,"v.展现,显示,揭示,揭露,告诉,泄露"
revelation,"n.揭示,揭露,显示,启示,新发现,被揭露的事"
revenge,"n.报复,复仇 v.替…报仇"
revenue,"n.财政收入,税收"
reverse,"n.相反;背面 a.相反的 v.颠倒,倒转"
review,"v.回顾,复习 n.回顾,复习;评论"
revise,"v.修订,校订;修正,修改"
revive,v.恢复;(使)复苏
revolt,"v./n.反抗,起义"
revolution,"n.革命;旋转,转数"
revolutionary,"a.革命的,革新的 n.革命者"
revolve,"v.(使)旋转;考虑;【天】公转,循环"
reward,"n.(for)报酬,赏金 v.(for)酬劳;酬谢"
rhythm,"n.节奏,韵律"
rib,"n.肋骨,肋状物"
ribbon,"n.缎带,丝带,带,带状物"
rice,"n.稻,米"
rich,"a.富的,有钱的;富饶的;(in)充足的,丰富的"
rid,"v.(of)使摆脱,使去掉"
riddle,"n.谜,谜语"
ride,"v./n.骑,乘"
ridge,"n.岭,山脉;屋脊;鼻梁"
ridiculous,"a.荒谬的,可笑的"
rifle,n.步枪
right,"a.右的,正确的 n.右,权利ad.在右边,正确地"
rigid,a.刚性的;刻板的;严厉的
rigorous,"a.严格的,严厉的,严酷的,严密的,严谨的"
rim,"n.(圆物的)边,边缘;(眼镜)框"
ring,"n.戒指;环;铃声;(打)电话 v.按(铃),敲(钟)"
riot,"n.暴(骚)乱,蔓延,彩色缤纷 v.骚乱,暴动"
rip,"v.撕,剥,劈,锯,裂开,撕裂 n.裂口,裂缝"
ripe,"a.熟的,成熟的;(for)时机成熟的"
rise,"v.升起;起立;上涨;起义 n.上涨,增高;起源"
risk,v.冒…的危险 n.冒险;风险
ritual,"a.宗教仪式的,典礼的 n.(宗教)仪式,典礼"
rival,"n.竞争者,对手 v.竞争,对抗 a.竞争的"
river,n.河流
road,"n.路,道路,途径"
roar,"n./v.吼叫,怒号;轰鸣,咆哮"
roast,"v.烤,炙,烘"
rob,"v.(of)抢劫,盗取;非法剥夺"
robe,"n.长袍,上衣"
robot,"n.机器人,自动机械"
robust,"a.强健的,雄壮的,精力充沛的,坚固的,浓的"
rock,"n.岩石,石块 v.摇,摇动"
rocket,n.火箭
rod,"n.杆,棒"
role,"n.角色,作用,任务,职责"
roll,"v.滚动;使摇摆;卷,卷起 n.卷,卷形物;名单"
romance,"n.传奇,爱情故事"
romantic,"a.浪漫的,传奇式的;不切实际的,好幻想的"
roof,"n.屋顶,顶"
room,n.房间，室，空间，地方；余地
root,"n.根,根部;根本,根源 v.(使)生根,(使)扎根"
rope,"n.绳,索"
rose,"n.玫瑰,蔷薇"
rot,"v.(使)腐烂,(使)腐败,腐朽"
rotary,a.旋转的
rotate,v.(使)旋转
rotten,"a.腐烂的,腐朽的"
rough,"a.粗糙的;粗略的,大致的;粗野的,粗暴的"
round,a.圆的prep.围绕ad.在周围v.绕行n.(一)回合
roundabout,"a.迂回的,转弯抹角的 n.环状交叉路口"
rouse,vt./vi.唤醒，唤起；激励；激起
route,"n.路线,路程"
routine,"n.例行公事,常规 a.常规的,例行的"
row,n.(一)排，(一)行；吵嚷 v.划(船等)，荡桨
royal,"a.王室的,皇家的;第一流的,高贵的"
royalty,"n.皇家,皇族"
rub,"v.擦,摩擦"
rubber,"n.橡皮,橡胶;橡胶制品,胶鞋"
rubbish,"n.垃圾,废物;废话"
ruby,n.红宝石
rude,"a.粗鲁的;猛烈的,残暴的;粗糙的,粗陋的"
rug,n.(小)地毯;围毯
ruin,"v.毁灭;(使)破产 n.毁灭,崩溃;(pl.)废墟"
rule,"v.统治;支配;裁定n.规章,条例;习惯;统治"
ruler,"n.统治者,支配者;尺,直尺"
rumor,"n.(rumour)传闻,谣言"
run,v.奔，跑；流，淌；蔓延，伸展；经营；运转
rural,"a.乡下的,田园的,乡村风味的"
rush,"v.(使)冲;奔n.冲,急速行进 a.(交通)繁忙的"
rust,n.铁锈 v.(使)生锈
ruthless,"a.残酷的,无情的"
sack,"n.袋,包,麻袋 v.解雇"
sacred,a.神圣的;宗教的;庄严的
sacrifice,"n.牺牲,牺牲品;祭品 v.(for,to)牺牲,献出"
sad,"a.悲哀的,忧愁的"
saddle,"n.鞍,马鞍,鞍状物"
safe,"a.安全的,牢靠的;谨慎的,可靠的 n.保险箱"
safeguard,"v.维护,保护,捍卫 n.安全装置,安全措施"
safety,"n.安全,保险;安全设备,保险装置"
sail,"n.帆,航行 v.航行"
sailor,"n.水手,海员"
saint,"n.圣人,基督教徒;(S-或St.用于人,地名前)圣"
sake,"n.缘故,理由"
salad,"n.色拉,凉拌菜"
salary,"n.薪金,薪水"
sale,"n.出售,上市;贱卖,廉价出售;销售额"
salesman,"n.售货员,推销员"
salt,"n.盐,盐,类 v.腌,盐渍"
salute,"v./n.敬礼,鸣礼炮;迎接,欢迎"
salvation,"n.拯救,救助;救济(者,品),救助工具;救世主"
same,a.相同的 pron.相同的人(或物) ad.同样地
sample,"n.样品,实例,标本,抽样检查 v.取样,采样"
sanction,"n./v.批准,同意,支持,认可 n.处罚,制裁"
sand,"n.沙;(pl.)沙滩,沙地"
sandwich,"n.三明治,夹肉面包 v.夹入,挤进"
sane,"a.心智健全的,神志清醒的,明智的,稳健的"
sarcastic,a.讽刺的
satellite,"n.卫星,人造卫星;附属物"
