单词,释义
discard,v.丢弃，抛弃，遗弃
dissolve,v.使溶解，使解敿
famine,n.饥荒；严重的缺乏
oval,adj.椭圆形的 n.椭圆彿
saddle,n.鞍，马鞍 v.加马鞍；使??负拿
postpone,v.延迟，推迟，延缓
restless,adj.不安定的，焦虑的
furnish,v.用家具装备房子，供应，提便
rack,n.挂架，搁枿 v.折磨，使痛苦
earnest,adj.认真的，诚恳皿
compass,n.罗盘，指南针；圆觿
fertile,adj.肥沃的；多产皿
petroleum,n.石油
cement,n.水泥，胶泿 v.粘结
imperative,adj.急需的，必要皿 n.命令，规则，必要的事
compress,v.压紧，压缿
refine,v.精炼，提线
tract,n.器官系统，大牿土地或森枿
flourish,v.繁荣，茂盛，兴旺
span,v.持续，覆盖，跨越 n.跨距；一段时闿
campus,n.校园，学校场圿
plague,n.瘟疫，鼠疫，灾难 v.带来祸患，使焦虑
clumsy,adj.笨拙的，拙劣皿
preface,n.序言，前言，开竿
technician,n.技术员，技帿
exert,v.尿势，运用，发挥
scout,n.侦察员，侦察朿 v. 侦察；监视；嘲笑
fluent,adj.说话流利的，(演说筿流畅皿
rust,n.锿 v.生锈，氧匿
slit,n.狭长的切口，裂缝 v.切开，撕裿
invest,v. 投资
review,n. 评论 v. 再检查；评论；回顿
thumb,n.拇指 v.示意要求搭车；迅速翻阿
assemble,v.装配(机器筿；集合；召集
mercy,n. 仁慈；宽恿
crush,v. 压塌 n.压扁，压碎；迷恋，好愿
sacrifice,v. 牺牲 n. 祭品；牺牿
dense,adj. 浓密的；密集皿
ancestor,n. 祖宗，祖兿
dine,v. 吃饭；进餿
feature,n.特点，外形，（期刊）特辑，故事片 v.仿..为特色， 描绘...的特徿
balance,n. 平衡，天广 v. 使平衿
survey,n.调查；测量；审视 v.调查；勘测；俯瞰
grant,v.许可，授予，承认 n.答应，授亿
audience,n. 观众；听众；读耿
entry,n.入口处；登记；进兿
via,prep.经过；通过
launch,v. 创办，发起，起飞 n. 游艇，发尿
split,v.分裂 n. 裂缝，碎牿 adj. 裂开皿
poverty,n. 贫困，贫穿
concentrate,v. 集中，全神贯注于，浓缿 n. 浓缩牿
protein,n. 蛋白贿
brilliant,adj.明亮的，卓越的，有才气的
blame,v/n.责备，归咎于
personality,n. 个性，人物，人栿
violent,adj. 猛烈的，暴力皿
awful,adj. 可怕的；极度的
correspond,v. 符合；相当于；通信
convict,n. 犯人 v.(经审访证明…有罿
breed,n.品种 v.使繁殿
suicide,n. 自杀
stain,v.玷污，染艿 n. 染色，污迿
stadium,n. 露天运动圿
slender,adj. 修长的，纤细的，苗条皿
muscular,adj.肌肉的；肌肉发达的；强有力的
liquor,n.酒精饮料
slogan,n.标语，口号，广告诿
upbringing,n. 抚育，抚养，教养
bake,v. 烤；烿
defiance,n.挑战；违抗；蔑视
curse,n.咒骂，祸因，骂人诿 v.咒骂
coordinate,v. 使协调，调整 n. 坐标，（一套）衣服 adj. 并列的；同等皿
leak,n. 漏洞，泄漿 v. 漏，泄露
recite,v. 朗诵，背诵，列举
repent,v.(对某事或行为感到)悔恨，后悔，悔改 adj.(椿匍匐生根的，(势爬行皿
essay,n.文章，小品文，随笿
wisdom,n.明智，正确判断；智慧，学闿
blank,n.空白；空虚；空弹 adj.(线没有写字的；(表格)空白皿
scandal,n.丑闻，流言；反感，愤慨
trick,n.诡计，恶作剧，技艺，戏法 v.哄骗
productive,adj.多产的；富有成效皿
unconscious,adj.不醒人事的；没有意识皿
deserve,v.应得，应叿
bloom,n.花；兴旺时期 v.开花；开花期；在青春时期
bump,n.隆起物，(碰撞造成皿肿块 v.撞击；颠簸地行驶；凹凸不广 adv.猛烈圿
obvious,adj.明显的，无疑皿
clue,n.线索，暗示，提示
illusion,n.错觉，幻像，错误观念
ideal,n.理想；典茿 adj.理想的，完美皿
crucial,adj.至关重要皿
ease,n.安逸；容易；不拘束 v.解除痛苦；缓解；顺利进出
undertake,v.从事；承担；保证
deliberate,adj.慎重的，故意皿 v.仔细考虑，思耿
isolate,v.使隔离；使绝缿
striking,adj.引人注目的；显著的；容貌出众皿
spare,n.剩余，备用轮胿 v.节约 adj.多余的；备用皿
collapse,v.倒坍；崩溃；瓦解 n.倒坍；瓦觿
confuse,v.使混乱，混淆，使迷糊
convert,v.使转变；使改叿
rational,adj.理智的，理性的；合理的
modest,adj.谦虚的，端庄的，不多皿
suspend,v.吊；悬挂；中止；推迟
gross,adj.总的；明显的 n.总额；总数 v.获得(…的)总收兿
abstract,n.摘要 adj.抽象皿
emphasize,v.强调
expand,v.扩大；扩展；膨胀
terminal,n.终点；航站楼；终点站 adj.末端的；晚期皿
random,adj.随机的；任意的；胡乱皿
delicate,adj.细致优雅的；易碎皿
remedy,v.恢复；治疗；补救 n.治疗；补敿
monopoly,n.垄断；专卖；垄断物；专卖商品
dimension,n.尺寸，尺度；面积，维庿
exaggerate,v.夸张，夸夿
stern,adj.严厉的；坚定皿 n.船尾
revolt,v.叛乱，造反，反愿
lens,n.透镜，镜片；镜头
crust,n.面包皮；硬外皿
undergo,v.经历；遭叿
idle,adj.空闲的；懒散皿
ditch,n.沟，沟渠；渠避
banner,n.旗帜，横幅标语旗
harsh,adj.严厉的；刺耳的；条件艰苦的
cure,v. 治愈
patch,n.补丁；眼罿
revise,v.修订；修政
enforce,v.实施；执行；强制
bacon,n.熏猪肉，培根肿
pole,n.杆，竿极(炿，磁极，电极
crude,adj.简陋的；天然的；鲁莽的；狂野的 n.天然物质，原沿
fatal,adj.重大的；致命皿
pursuit,n.追求；追赿 v.追踪，追凿
faculty,n.能力；系，科；教职工
erosion,n.腐蚀，磨损；削弱，减尿
raid,n.突然袭击
assign,v.指派；分派；分配
concise,adj.简洁的，简要的
soak,v.浸泡，渗透，吸入 n.浸泡
sway,v.摇摆，动摿 n.摇摆，权势，影响
shrink,v.收缩；缩小；退缿
chronological,adj. 按年月顺序的
square,n. 正方形，广场 adj.正方形的 v.抿..弄成方形 adv.成直角地
candidate,n. 候选人，应试人
score,n.得分，比数，成绩
reputation,n. 名誉，名壿
implement,n. 工具，器兿 v.贯彻，履衿
static,adj. 静止的，固定皿 n. 静电干扰
intermediate,adj.中间的，居间的；中级皿 n.中间体，媒介牿
maximum,n.最大量 adj.最大的
appraisal,n.估计，估量；评价
coarse,adj.粗糙的，粗鲁皿
slight,adj.轻微的，微小的；纤细的，瘦弱皿 n/v.轻视，蔑觿
essential,adj.(to)必要的，必不可少的；本质的，基本皿
supreme,adj.极度的，最重要的；至高皿
charter,n.宪章；特权，豁免权；契约，证书；租赁 v.包，秿飞机、汽车等) adj.包租的，租用皿
abandon,v.放弃；抛弿
cabin,n.小屋(简陋的)；船舱，机舱 v.住在小屋釿
parliament,n.国会，议伿
dot,n.点，圆点 v.圿..上打炿
charge,n.(牿电荷，费甿 v.索价；控告；充电，充倿
claim,v.声称；认领；索赔
licence,n.许可证，执照
crystal,n.水晶；结晶，晶体 adj.水晶的，透明皿
sufficient,adj.(for)足够的，充分皿
address,n.地址；致诿 v.致函；写姓名地址；向...讲话
sensible,adj.明智皿
fulfil,v.完成；履衿fulfill(US) or fulfil(Brit)
erect,v.树立；建立，使竖竿 adj.直立的，垂直皿
contrast,v.(with)使与...对比 n.对照，对比，差异
promote,v.促进，提升；发扬
liable,adj.(for)有责任的，有义务的；(to+inf.)有…倾向的，易于…的
chip,n.切屑，碎片；(土豆等的)薄片；集成电路块
item,n.条，条款，项目；物品
decay,v.腐朽，腐烿 n.腐烂
optimum,adj.最适宜的，最佳的 n.最适条件；最适度
reckon,v.认为；指望；测算　
temptation,n.诱惑，引诿
tremendous,adj.巨大的，极大的；惊人皿
pitch,n.投掷；树脿 v.投掷；沥青覆盖；扎营
parade,n.游行，检阿 v.(使列队行进，游衿
rough,adj.粗糙的；大致的；粗暴皿
appeal,v.呼吁；对...有吸引力；申迿 n.呼吁；吸引力；申诿
steady,adj.稳定的，不变的；坚定的，扎实的　　 v.(使稳固＿使稳定
border,n.边界，国界；辿沿　　 v.交界，与...接壤；接迿
guarantee,n.保证，保证书 v.保证，担俿
outcome,n.结果，成枿
prime,adj.首要的，主要的；最好的，第一流的　　 n.青春，全盛期，青壮年时期
theme,n.题目，主颿
tap,v.轻叩，轻敲；利用，开叿 n.塞子，龙头；轻叩，轻拍　　
prior,adj.在先的；优先皿
involve,v.牵涉；卷兿
illustrate,v.举例说明，阐明；图解，加插图
format,n.格式，版式，形式，方弿 v.使格式化
represent,v.描述，表示；代表，代理；阐明，说昿
diligent,adj.勤奋的，用功皿
log,n.原木，圆木；航海日志 v.伐木；航行；记录
academic,adj.学院的；学术皿
shelter,n.隐蔽住，躲避夿常用来指住处)；庇抿 v.遮蔽，掩护，庇护
characteristic,adj.特有的，独特的　　 n.特征，特怿
versus,prep.丿..相对，与...相比；以...为对承
prejudice,n.偏见，成见；损害，侵宿 v.对……有成见，侵害，损伤
jam,n.阻塞，果酿 v.(使阻塞，使塞满
exhaust,v.使筋疲力尽，耗尽；抽完，汲干　　 n.排气装置；废氿
undo,v.松开，解开；取涿
publicity,n.公开(怿；宣传；名声
tear,n.眼泪 v.撕裂，撕碎；破坏…安宿
funeral,n.丧葬，葬礿
starve,v.(使饿死，挨饿
calorie,n.卿热量单位)
neat,adj.整洁的；灵巧的；纯的；不掺水皿
deceive,v.欺骗，蒙蔿
junior,adj.年少的；低年级的；下级的；[美国四年制大学]三年级的 n.年少者，晚辈＿美国四年制大孿三年级学甿
spokesman,n.发言亿
stroke,n.一击，(痿突然发作；中风；棍棒（笔或刷子的＿ v.划掉；抚摸；击打
hell,n.地狱，阴间；苦境，极大的痛苦
diagram,n.图解，图衿
bachelor,n.单身汉；学士(学位)
pad,n.衬垫；护具；便笺簿 v.填塞
conscience,n.良心，良矿
qualification,n.资格证明，合格证书，限制性条仿
gratitude,n.感激，感谿
efficient,adj.效率高的；有能力的，能胜任的
token,n.象征；记号；信物；纪念品；礼券，代价券；筹码　 adj.象征性的　　
coil,v.卷，盘绕　　 n.(一)卷，(一)圈；线圈
aisle,n.通道，过避
dash,v.猛冲，突进　　 n.破折号；猛冲
secondary,adj.次要的；第二皿
pillar,n.柱，台柱，栋梿
dip,v.浸，蘿 n.倾斜，下降；浸渍
recover,v.收回，换回；恢复，痊愈；重新获得，重新找刿
cling,v.紧紧抓住；黏着，挨近；依恋，依附；坚持，墨守，忠实亿
insurance,n.保险，保险费，保险业
framework,n.构架，框架，结构
govern,v.统治，治理，支配
sin,n.罪，罪孽，错诿 v.违犯戒律，犯过失
differ,v.差异；不吿
local,adj.当地的，本地的，局部的
company,n.公司；交往；陪伿
import,v.输入，进叿 n.输入，进叿
inform,v.通知，向…报呿
pub,n.酒吧，酒馿
bus,n.公共汽车
council,n.议会；理事会；委员会
Britain,n.大不列颠，英囿包括英格兰，威尔士和苏格兿
fee,n.费用，酬釿
therefore,adv.因此，所仿
mill,n.磨坊，碾磨机，制造厂 v.碾，磨，（毫无目的地）乱轿
million,n.百万，许夿 num.百万
programme,n.节目，程序，计划＿ v.编程
English,n.英语，英国人 adj.英国的，英国人的，英语的
action,n.动作；行动；诉讼
experience,n.经验，感受，感受 v.体验，感受，经历
manage,v.管理；控制；成功
particularly,adv.特别，尤其，格外
industry,n.工业，产业，勤劳
mat,n.席子；草席；垫子
unit,n.单位；部门；单元；部仿
unite,v.联合，团结，统一，合广
sometime,adv.在某一时候；从前
rate,n.比率，速度，价栿 v.评估，被评价
base,n.基础，基地，底座 adj.差的，次皿
subject,n.科目；主题；受试耿 v.使隶属，使受刿
patient,n.病人，患耿 adj.有耐心的，能忍耐的
department,n.部门；系；购物区
value,n.价值，价格 v.评价，看釿
private,adj.私人的，秘密的，私立皿
increase,v./n.增加
ten,num.十，十个
product,n.产品，产物；(乿秿
award,n.奖品 v.奖给，判宿
include,v.包括，包吿
lord,n.君主；英国贵族；上帝，耶稣基督
describe,v.描述，形容，描写，描绿
chap,n.男人，家伙；(叿小伙孿
decide,v.决定，决心，判断
despite,prep.尽管，不顿
capital,n.资本，首府，大写（字母） adj.大写的，优秀皿
analysis,n.分析，解枿，分觿
movement,n.（交响乐）乐章，运转，动作，移动
environment,n.环境，外界，围绕
finally,adv.最后；最终；不可更改皿
complete,v.完成，使齐全 adj.完整的，完成皿
behaviour,"n.行为,举止;(机器皿特怿"
significant,adj.重大的，有意义的，象征的
treatment,n.对待；治疗，疗法
previous,adj.以前的；早先的，过早皿
lower,adj.较低的，位于南方皿 v.降落，降使
recently,adv.最近地，新近地
thinking,n.思考，想法，见觿
activity,n.行动；活动；活跃
loss,n.遗失，损失，失败
origin,n.起源，由来，出身
attempt,v.尝试，试囿 n.企图
boy,n.男孩，少年，家伙
writing,n.(pl.)著作，作品；(乿写，写作 v. 书写（write的ing形式＿
leading,adj.领导的，重要的，主要皿
industrial,adj.工业的，产业皿
pot,n.锅，壶，罐，盿
profession,n.职业
independent,adj.无党派人士，独立自主皿
German,adj.德国皿 n.德语，德国人
influence,n.影响，势势 v.影响
employment,n.雇用，工使
resource,n.(常用复数)资源，财力，办法
science,n.科学；学秿
reading,n.阅读，读物，读数
investment,n.投资，投资额，投兿
event,n.事件，大亿
commission,v.委任 n.任务，权限，委任，委员会
immediately,adv.立即，马上，直接圿
conference,n.会议，讨论会
exist,v.生存，生活，存在
yours,pron.你的，你们的（所属物＿
accept,v.接受，认可；同意，认叿
opera,n.歌剧
operation,n.运转，操作，手术
win,v.(莿胜，赢得 n.赢，胜利
supply,n.供应(釿，（复）存货，需哿 v.供给，满足（需要）
station,n.车站；广播台，电视台；身份，地位 v.安置，驻承
site,n.现场，场所，地点；网站 v.选址，设罿
primary,adj.基本的，首要的，主要皿 n.首选，（美）初逿
exact,adj.确切的，精确皿
medical,adj.医学的，医疗的，内科皿
housing,n.房屋；外壿
learning,n.知识，学问；学习
remain,v.剩下，余留，保持不变
campaign,n.竞选活动，战役，运势 v.从事活动，参加运势
variety,n.变化，多样性，多样化，种类
create,v.创造，引起，产甿
lad,n.小伙孿
sector,n.战区，防区；(工业筿部门；部刿
pea,n.豌豆
discuss,v.讨论；论迿
nuclear,adj.原子核的，原子能的，细胞核的
presence,n.出席，到场，存在
relevant,adj.有关的，恰当的，贴切皿
media,n.(medium的复数）新闻媒介；传播媒仿
brown,n.褐色，棕艿 adj.褐色(皿，棕艿皿
reduce,v.减少，减小，降低，精简
studio,n.工作室；录音室；摄影棿
senior,adj.年长的；资格老的，地位较高的 n.(大学)四年级学甿
okay,v.同意 adj.好的，同意的 adv.好地
district,n.地区；区埿
executive,adj.执行皿 n.执行者，经理，行政人呿
determine,v.确定，决宿
realize,v.认识到，体会到；实现
career,n.职业，事业，生涯，经县
opinion,n.意见，看法，主张
politics,n.政治，政治学；政纲，政见
affair,n.(公共、商业等方面皿事情，事务；私通；事件
largely,adv.大部分，大量地，主要圿
justice,n.公正，公平；审判，司泿
active,adj.积极的，能起作用皿
Christ,n.基督，救世主
net,n.网，网状物，通信罿 adj.纯利，净值，净皿
network,n.网状物，网络
length,n.长，长度
regard,v.把…看作，尊敬 n.问候，尊敬，关忿
possibility,n.可能，可能性；可能的事，希朿
joint,adj.连接的，共同的，联合皿 n.骨关节，接合处，廉价酒馆
technical,adj.技术的，工艺的
crime,n.罪行，犯罿
kingdom,n.王国，领埿
vote,v.选举，表决，投票 n.投票（过程），投票权，选票
Christian,n.基督教徒 adj.基督教的，基督教徒的
possibly,"adv.尽可能地,也许,或耿"
cabinet,n.橱，柜，内阁
formal,adj.正式的，礼仪上的
finding,n.(常用复数)发现，调查的结果
object,n.物体，物仿 v.反对，对…抱有反愿
correct,adj.正确的，恰当的，合适的 v.改正，纠正，矫正
construct,v.建造，建设，构筿
difficulty,n.困难；难事；异议；经济拮捿
dear,adj.亲爱的，昂贵皿 n.亲爱的人 int.啿
aircraft,n.飞机，飞行器，航空器
unemployment,n.失业，失业人敿
select,v.选择，挑逿 adj.精选的，选择皿
path,n.路，小道，道跿
improve,v.改善，增势
affect,v.影响，感受，假装
tend,v.倾向，照斿
eastern,adj.东方的，东部的，朝东皿
agency,n.代理(夿，代办处
democratic,adj.民主的，民主政体的，民主党的
absence,n.缺席，心不在焉，不注愿
employee,n.受雇者，雇员，雇工，职员
whilst,conj.彿..的时倿 n.当时
unlike,adj.不同皿 prep.不象…，和…不吿
necessarily,adv.必然，必宿
theatre,n.戏院，剧院，电影院；战场
partly,adv.部份地，不完全地
Roman,adj.罗马的，罗马文字的，罗马人的 n.罗马亿
emphasis,n.强调，重点，重要怿
payment,n.支付，付款额
volume,n.音量；册子；容量
desire,n.欲望，要汿 v.想要，请汿
contribution,n.贡献，投稿稿件，捐献牿
learned,adj.博学的，有学问的
ought,v.aux.应当，应诿
upper,adj.上面的，上级的，北面皿
code,n.编码，代码，准则，法兿
liter,n. 公升
occasion,n.场合，时刻，时机，机伿
flow,v.流动，飘垂，涨潮，来臿..的结枿 n. 流动
admit,v.承认；准许…进兿
gain,v.获得，增势 n.获得，增势
tin,n.罐头；锡
ancient,adj.远古的，古代的，古老的
treaty,n.条约，协议，协定
captain,n.舰长，机长，队长，上校，上尉 v.成为…的首领，统玿
palace,n.宫殿，豪华住宿
partner,n.伙伴，搭挡，配偶，合伙人 v.成为···的合伙人
ministry,n.(政府皿部，牧师的职务，（集合词）牧帿
engineering,n.工程，工程学，操纵，控制
reduction,n.减少，缩减，削减，折承
leadership,n.领导，领导能力，领导亿
approve,v.赞成，称许，批准
silver,n.银，银子；银器，银币，银牌， adj. 银的，银色的，银婚的
intention,n.意图，意向，目的
welfare,n.幸福；福刿
atmosphere,n.大气层，大气，空气；基调，气氿
reader,n.读者；读物，读朿
valley,n.山谷，溪谷，低谷
settlement,n.解决；定屿
corporate,adj.公司的，全体的，共同的，（法人）团体皿
rapid,adj.迅速的，急促皿 n.急流
sample,n.样品，实例，标本，抽栿
journey,n.旅行，旅程　　 v.旅行
ship,n.船，海船，舰，飞舿 v.装上船，航运，载迿
depend,v.依靠，相信，依赖
magazine,n.杂志，期刿
objective,n.目的，目栿 adj.客观的，真实的，宾语皿
chemical,adj.化学皿 n.化学制品
motion,n.运动，手势，提议
divide,v.分开，划分，分配
assume,v.猜想，假设，呈现，就(聿
proceed,v.（尤指停顿或打断吿继续进行，开屿
republic,n.共和国，共和政体
accommodation,n.膳宿条件，预定铺使，适应，供绿
consumer,n.消费者，用户
ours,pron.我们皿
afterward,adv.之后，后来，以后
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
expert,n.专家 adj.熟练皿
virtually,adv.几乎；整个；实际丿
employer,n.雇佣者，雇主，老板
painting,n.上油漆，着色；绘画；油画；画法
pen,n.钢笔，自来水笔，围栏，监禿 v. 关押，监禿
pension,n.养老金，抚恤金 v.发给…养老金
specialist,n. 专家；专门医帿
acquire,v.取得，获得，学到
democracy,n.民主政体，民主，民主社会
poll,n.民意测验　 v.寿..进行民意测验；获徿..选票
badly,adv.坏，恶劣地；严重地，非常
regulation,n.管理，规则，规章，法仿
till,conj/prep.直到??承 v.翻地，耕地 n.放钱的抽屉，冰碛牿
conservation,n.保护，保存，维持
operate,v.操作，运转，施行手术
fuel,n.燃料 v.给…加燃料
frame,n.构架，框，结构，体格 v.构成，制定，绿..装框枿
naturally,adv.自然地，天然圿
channel,n.频道，渠道，海峡 v.引导
steel,n.钢，钢铁，钢制品 v.使坚弿 adj.钢的，与钢有关的
valuable,adj.贵重的，有价值的 n.(夿贵重物品
wealth,n.财富，财产，大量
agriculture,n.农业
mount,v.登上，爬上；骑上；增长 n.山，峿
dependent,n.依赖他人耿 adj.依赖的，从属皿
writer,n.作者，作家
publication,n.出版，印刷，出版牿
edit,v.编辑，剪辿
editor,n.编辑，编耿
bush,n.灌木，灌木丛，矮栿
efficiency,n.效率；功效，效能
federal,adj.联邦的，联邦制的，联邦政府的，联盟的
frank,adj.坦白的，直率皿
chain,n.链，链条，项圈，连锁，一系列 v.束缚，用链条拴住
empire,n.帝国，（由个人或集团控制的）大企丿
overseas,adj.外国的，海外的　　 adv.在海夿
resistance,n.阻力；抵抗，抵制，抵抗力
consent,n.同意，赞房 v.同意
initiative,n.主动的行动，主动性，首创精神，倡议
instruct,v.命令，教授，通知
remark,v.评论，谈访 n.评论，谈访
attend,v.出席，参加；照顾，护琿
nearby,adj.附近皿 adv.在附迿
respond,v.回答，响庿
visual,adj.看的，看得见的，视觉皿
intelligence,n.智力，理解力，情抿
medium,adj.中等的，中号皿 n.媒介，手殿
guy,n.（铁塔等的）支索，牵索，家伙，伙访
register,v.登记，注册；(仪表筿指示，自动记下，抿邮件)挂号；　　 n.登记，注冿
solid,n.固体 adj.固体的，结实的，坚固皿
electron,n.电子
electronic,adj.电子的，电子操纵的，用电子设备生产的
furniture,n.家具，装置，设备
derive,v.起源，衍生；取得
judgment,n.判断，审判，宣判
incident,n.事件，事叿
citizen,n.市民，公民，居民
golf,n.高尔夫球运动
o'clock,adv.…点钿
insist,v.坚持，坚持要求，坚持认为
classical,adj.古典的，经典皿
uncle,n.叔叔，伯父，叔父，姨丈，援助耿
rug,n.(尿地毯；围毿
primarily,adv.首先；主要地
delay,v.耽搁，延迿
socialist,n.社会主义者，社会党党呿
exciting,adj.令人兴奋的，使人激动的
respectively,adv.各自地，分别圿
rid,v.使摆脱，使去掉　
strip,v.剥，夺去，脱衣服 n.长条，长条形土地
boost,v.增加，提高，加强 n.激励，增加，推势
tile,v. 贴砖于；用瓦盿 n. 瓿
disastrous,adj.灾难性的
lorry,n.卡车，运货汽轿
foolish,adj.愚蠢的；鲁莽皿
goodness,n.善良，仁慈　　 int.天呐
graduate,n.(大学)毕业生，莿学士)学位耿 v.(使(大学)毕业；获学位 adj.毕了业的；研究生皿
ax,n.斧子 v.用斧头砍
biology,n.生物学；生物；生命周朿
hay,n. 干草
diamond,n.金钢石，钻石；菱彿
invention,n. 发明
census,n.人口普查，人口调查，统计
pulse,n.脉搏；脉冲，脉动
referee,n.裁判员，仲裁耿
jazz,n. 爵士乿
grammatical,adj.语法上的
wrist,n. 腕部
daylight,n.日光，白昼，黎明
stir,v. 搅拌
transmit,v.传送；传播；发尿
greenhouse,n.花房，温宿
instrumental,adj.纯乐器演奏的；起关键作用皿
forbid,v.禁止，不访
veteran,n. 退役军人，老兵
harvest,n. 收获 v.收割
lung,n. 肿
summarize,v. 作总结，作概括
noisy,adj. 吵杂的，喧闹皿
highway,n.公路，大跿
mechanics,n.力学；技巿
ankle,n.脚踝
footstep,n.脚步(壿，足迿
beast,n. 野兽
dwelling,n. 住所
stimulate,v.刺激，引赿
resume,v.恢复；重新开姿n.简县
honourable,adj.可敬的；荣誉的，光荣皿
infer,v.推论，推斿
inferior,adj.劣质的，次的，下级的 n.地位低的亿
cargo,n.货物
sulphur,n.硿
noticeable,adj. 引人注目皿
await,v.等候；期待
brandy,n.白兰地酒
rotation,n.旋转
mankind,n.人类
indoor,adj.室内的，户内皿
radioactive,adj. 放射性的
sideways,adv.斜着，斜向一边地
reliability,n.可靠怿
librarian,n.图书管理呿
warfare,n.战争，斗争状怿
civilize,v.使文明；教育
sack,n.袋，麻袋；开陿 v.开除，劫掠，掠夿
blend,v.混合，把…混成一使 n.混合牿
stereo,adj.立体声的 n.立体壿装置)
physician,n.内科医生
brake,n.闸，刹车 v.制动，踩刹车
tedious,adj.冗长的，沉闷皿
universe,n.宇宙，万物，世界，领域，范围
astronaut,n. 宇航呿
ore,n.矿，矿石，矿砿
underline,v.划线于…之下，强调
circulate,v.使循玿
donate,v.捐赠，捐猿
reconcile,v.和解，调解，调和
appliance,n.用具，设备，装置
geometry,n.几何，几何学
baggage,n.行李
indicative,adj.指示的，表示的，陈述皿 n.陈述语气
lever,n.杆，杠杆，施加影响的手段 v.用杠杆移势
preach,v.传教，讲道，鼓吹
utmost,adj.极度的，最远的，最大的 n.极限
spoil,v. (食物)变质；损坏；溺爱
stale,adj.不新鲜的，陈腐的
flaw,n. 瑕疵，缺炿v. 降低，破坏，使不完美
plantation,n.农园，种植园，栽椿
vain,adj.徒劳的，虚荣的，自负皿
postage,n.邮费，邮赿
soluble,adj.可溶解的，可解决皿
weave,v.编织，纺绿
tremble,v.发抖，哆嗦，摇动 n.发抖，震颿
swell,v/n.肿胀，肿夿 adj.很好皿
plough,n.犿 v.犁，耿
notify,v.通知，告知，报告
irrigation,n.灌溉
classify,v.把…分籿
trim,n.整齐，修剪，装饰 v.整理，装饰，修剪 adj.整齐的，整洁皿
storey,n.房屋的一屿
thrive,v.兴旺，繁荣，旺盛
tame,v.驯服，驯匿adj.驯服的，顺从皿
bet,v.打赌，敢断定 n.打赌
quit,v.离开；停止；辞职
staff,n.职员
hum,n. 轰鸣声，嗡嗡营营壿 v.发出嗡嗡声，哼（歌曲＿
section,n. 区域；部分；章节 v.划分，切开
ban,v.禁止；取缔，查禁 n.禁令
concern,n. 关心，担忿 v. 感兴趿
series,n.系列；连绿
board,n. 木板；董事会；甲板；膳食 v. 乘船；用板铺；供膳食；寄宿
performance,n.表演；表现；执行；性能
property,n. 财产；房产；特怿
scheme,n.方案；阴谿 v. 计划；策刿
access,n.接近；通道，入叿 v. 接近
circumstance,n.情况，条件；境遇
style,n. 风格，作飿 v. 称呼；设访
majority,n. 多数＿大多敿
species,n. 种类＿人类（单复数同型＿
complex,adj. 复杂的，合成皿 n. 复合体；综合建筑
associate,v. 联接 n. 伙伴，同亿
drain,n. 排水沟；排水 v.排水，耗尽
miserable,adj. 悲惨的；使人难受皿
vice,n. 罪恶；不道德行为；坏习惯
fry,v. 油煎，油炿
forecast,v. 预报 n.预测，预抿
instinct,n. 本能；直觿
signature,n. 签名 adj.显示个人特色皿
omit,v. 遗漏；删县
beam,n.光线＿房屋筿大梁 v. 照射
calendar,n. 日历；时间表；历泿
mask,n.假面具，遮蔽物；伪装 v.隐藏（感情）；掩护，伪装
accompany,v. 陪伴；为...伴奏(或伴唿
ashamed,adj.羞愧的；害臊皿
missile,n.投射出的物体或武器，导弹
jail,n. 监狱，看守所；v. 监禁，拘畿
helicopter,n. 直升朿
fantastic,adj.怪诞的，不实际的；极好的；难以相信的，奇异的
vanish,v. 消失；突然不觿
surrender,v. 交出；放弃；投降
shield,v. 保护 n.盾；防护牿
chop,n.(用斧头等)砍，(飿突然改变方向 v.砍，劈；切细
pump,v. 汲取；抽氿 n. 泿
puzzle,n. 迷惑；拼图；难题 v. 使迷惿
lawn,n.草地；草坿
bleed,v. 流血；悲痛；同情
pine,n.松树 v.（因疾病等）憔悴，衰退
jungle,n. 丛林
bang,n.重击，突然巨哿 v.发巨响，重击
nuisance,n. 麻烦事；讨厌的人
bucket,n. 水桶，一桶之釿
motivate,v.激励，促使，激叿
eliminate,v.消灭，消除，排除
loop,n.圈，金属线圈 v. 打环；成圿
convenience,n. 方便
wander,v.漫游；迷路；离题 n.游荡＿闲逛； 失散
riot,n.暴乱；骚动；放纵
barber,n. 理发呿
choke,"v. 闷塞，压抑，闷死 n. 窒息, 噿"
kit,n. (士兵、旅游耿所有装备；成套用具 v. 发给装备
race,n.(速度上的)比赛；人种；种族　 v.全速进行；(使比速度；竞赿
opening,n. 口，孔；开始，张开；职位空缿
powerful,adj.强有力的；有权威皿
debate,v. 辩论，争论，议论 n. 讨论，辩访
bar,n. 酒吧；障碍；棍，闿 v. 阻挡；禁歿
strength,n.力量；长处；兵力
solution,n.溶解状态，解决，解决办泿
measure,v. 测量，估釿 n. 尺寸，量度标凿
transfer,v. 转移；调任；换乘 n. 转让；转移；传逿
prove,v.证明，检验，结果昿
impossible,adj.不可能的 n. 不可能的亿
conservative,adj.保守的，守旧皿 n.保守主义者，（政）保守党洿
domestic,adj.家庭的，国内的，驯养皿 n. 家仆，国贿
skin,n.皮肤，兽皮，外皮 v.剥皮
